strategy,window,n_days,CAGR,ann_vol,Sharpe,Sortino,max_dd,monthly_hit,ann_turnover,cost_drag_ann,beta_SPY,alpha_SPY_ann
futures_momentum_12-1,full,3873,-0.1655,0.1874,-0.871,-1.161,-0.9526,0.373,42.23,0.0422,0.001,-0.1632
futures_reversal_5d,full,3873,-0.079,0.1918,-0.333,-0.468,-0.7357,0.454,140.05,0.1401,0.063,-0.074
futures_carry_21d,full,3873,0.0602,0.1949,0.397,0.599,-0.2795,0.535,80.62,0.0806,0.075,0.0665
futures_combined_mom+rev,in_sample,2012,-0.0409,0.1371,-0.236,-0.333,-0.362,0.479,122.12,0.1221,0.031,-0.036
futures_combined_mom+rev,out_of_sample,1861,-0.1398,0.2072,-0.623,-0.858,-0.7342,0.36,103.32,0.1033,0.075,-0.1421
futures_combined_mom+rev,full,3873,-0.0898,0.1743,-0.452,-0.627,-0.8236,0.422,113.08,0.1131,0.058,-0.087
futures_combined_all3,in_sample,2012,-0.0013,0.1501,0.066,0.094,-0.3373,0.583,112.1,0.1121,0.05,0.0041
futures_combined_all3,out_of_sample,1861,0.0002,0.2362,0.118,0.177,-0.4485,0.472,89.98,0.09,0.043,0.0213
futures_combined_all3,full,3873,-0.0006,0.1963,0.095,0.139,-0.4485,0.53,101.47,0.1015,0.046,0.0124
futures_combined_all3,full @ 0 bps,3873,0.1062,0.196,0.612,0.925,-0.3694,0.578,101.47,0.0,0.047,0.1135
futures_combined_all3,full @ 5 bps,3873,0.0514,0.1961,0.353,0.527,-0.4103,0.568,101.47,0.0507,0.047,0.0629
futures_combined_all3,full @ 10 bps,3873,-0.0006,0.1963,0.095,0.139,-0.4485,0.53,101.47,0.1015,0.046,0.0124
futures_combined_all3,full @ 25 bps,3873,-0.1419,0.1973,-0.677,-0.961,-0.9126,0.405,101.47,0.2537,0.043,-0.1393
