strategy,window,n_days,CAGR,ann_vol,Sharpe,Sortino,max_dd,monthly_hit,ann_turnover,cost_drag_ann,beta_SPY,alpha_SPY_ann
futures_momentum_12-1,full,3745,-0.175,0.1893,-0.921,-1.225,-0.9526,0.363,42.9,0.0429,-0.001,-0.1739
futures_reversal_5d,full,3745,-0.0791,0.194,-0.328,-0.46,-0.7357,0.458,140.43,0.1404,0.063,-0.0739
futures_carry_21d,full,3745,0.054,0.1967,0.365,0.551,-0.2795,0.531,80.48,0.0805,0.077,0.0607
futures_cot_3y,full,3745,0.0172,0.1749,0.185,0.264,-0.3908,0.531,12.99,0.013,-0.022,0.0352
combined_carry+cot,in_sample,1887,-0.0086,0.1794,0.042,0.059,-0.4096,0.511,56.89,0.0569,0.171,-0.0125
combined_carry+cot,out_of_sample,1858,0.0395,0.2301,0.283,0.432,-0.3813,0.494,50.79,0.0508,-0.025,0.0699
combined_carry+cot,full,3745,0.015,0.2061,0.175,0.258,-0.4096,0.503,53.87,0.0539,0.046,0.0291
combined_all4,in_sample,1887,-0.0351,0.1789,-0.11,-0.154,-0.4349,0.5,86.27,0.0863,0.121,-0.0338
combined_all4,out_of_sample,1858,-0.0369,0.2365,-0.041,-0.06,-0.4013,0.472,80.84,0.0808,0.07,-0.0224
combined_all4,full,3745,-0.036,0.2094,-0.071,-0.101,-0.5752,0.486,83.57,0.0836,0.088,-0.0279
combined_all4,full @ 0 bps,3745,0.0481,0.2094,0.329,0.48,-0.3181,0.581,83.57,0.0,0.088,0.0554
combined_all4,full @ 5 bps,3745,0.0052,0.2094,0.129,0.187,-0.3466,0.525,83.57,0.0418,0.088,0.0138
combined_all4,full @ 10 bps,3745,-0.036,0.2094,-0.071,-0.101,-0.5752,0.486,83.57,0.0836,0.088,-0.0279
combined_all4,full @ 25 bps,3745,-0.1497,0.21,-0.667,-0.931,-0.9243,0.369,83.57,0.2089,0.088,-0.153
