strategy,window,n_days,CAGR,ann_vol,Sharpe,Sortino,max_dd,monthly_hit,ann_turnover,cost_drag_ann,beta_SPY,alpha_SPY_ann
baseline_eq_carry+cot,in_sample,1887,-0.0086,0.1794,0.042,0.059,-0.4096,0.511,56.89,0.0569,0.171,-0.0125
baseline_eq_carry+cot,out_of_sample,1861,0.0395,0.2299,0.282,0.432,-0.3813,0.494,50.71,0.0507,-0.025,0.0699
baseline_eq_carry+cot,full,3748,0.015,0.206,0.175,0.258,-0.4096,0.503,53.82,0.0538,0.046,0.0291
opt_lam=0.5_tcap=inf,in_sample,1887,0.0228,0.1077,0.263,0.405,-0.2016,0.5,71.0,0.071,0.028,0.0251
opt_lam=0.5_tcap=inf,out_of_sample,1861,0.0215,0.1503,0.216,0.347,-0.3114,0.461,57.12,0.0571,-0.021,0.033
opt_lam=0.5_tcap=inf,full,3748,0.0222,0.1306,0.233,0.368,-0.3114,0.48,64.11,0.0641,-0.003,0.0292
opt_lam=0.5_tcap=0.5,in_sample,1887,-0.0109,0.1037,-0.054,-0.081,-0.2089,0.5,47.82,0.0478,0.023,-0.0083
opt_lam=0.5_tcap=0.5,out_of_sample,1861,-0.0039,0.1336,0.037,0.058,-0.2757,0.438,41.33,0.0413,-0.04,0.0087
opt_lam=0.5_tcap=0.5,full,3748,-0.0074,0.1195,-0.003,-0.005,-0.2757,0.469,44.6,0.0446,-0.017,0.0004
opt_lam=0.5_tcap=0.2,in_sample,1887,-0.0216,0.0985,-0.173,-0.25,-0.2321,0.467,26.84,0.0268,0.022,-0.0196
opt_lam=0.5_tcap=0.2,out_of_sample,1861,-0.0236,0.129,-0.122,-0.191,-0.3065,0.427,24.41,0.0244,-0.067,-0.0065
opt_lam=0.5_tcap=0.2,full,3748,-0.0226,0.1146,-0.143,-0.217,-0.3324,0.447,25.63,0.0256,-0.035,-0.0127
opt_lam=5_tcap=inf,in_sample,1887,0.025,0.1071,0.284,0.437,-0.1993,0.489,71.1,0.0711,0.022,0.0278
opt_lam=5_tcap=inf,out_of_sample,1861,0.0267,0.1493,0.25,0.405,-0.2911,0.461,57.25,0.0572,-0.017,0.0369
opt_lam=5_tcap=inf,full,3748,0.0258,0.1298,0.261,0.415,-0.2911,0.475,64.22,0.0642,-0.002,0.0324
opt_lam=5_tcap=0.5,in_sample,1887,-0.0051,0.1029,0.002,0.002,-0.1915,0.5,47.88,0.0479,0.019,-0.002
opt_lam=5_tcap=0.5,out_of_sample,1861,0.0023,0.1351,0.084,0.133,-0.2673,0.427,41.4,0.0414,-0.033,0.0136
opt_lam=5_tcap=0.5,full,3748,-0.0014,0.1199,0.048,0.073,-0.2673,0.464,44.66,0.0447,-0.014,0.0059
opt_lam=5_tcap=0.2,in_sample,1887,-0.0142,0.0974,-0.098,-0.143,-0.2118,0.467,26.97,0.027,0.019,-0.0118
opt_lam=5_tcap=0.2,out_of_sample,1861,-0.0251,0.128,-0.136,-0.213,-0.3135,0.416,24.69,0.0247,-0.063,-0.0093
opt_lam=5_tcap=0.2,full,3748,-0.0196,0.1136,-0.118,-0.18,-0.3135,0.441,25.84,0.0258,-0.033,-0.0102
opt_lam=50_tcap=inf,in_sample,1887,0.0301,0.1068,0.331,0.51,-0.191,0.511,73.37,0.0734,0.023,0.0327
opt_lam=50_tcap=inf,out_of_sample,1861,0.0246,0.1448,0.239,0.404,-0.2613,0.461,58.32,0.0583,-0.027,0.0375
opt_lam=50_tcap=inf,full,3748,0.0274,0.1271,0.275,0.449,-0.2613,0.486,65.9,0.0659,-0.009,0.0353
opt_lam=50_tcap=0.5,in_sample,1887,-0.0004,0.1027,0.047,0.069,-0.1863,0.5,49.36,0.0494,0.019,0.0026
opt_lam=50_tcap=0.5,out_of_sample,1861,-0.0123,0.133,-0.028,-0.044,-0.2681,0.427,41.92,0.0419,-0.043,0.001
opt_lam=50_tcap=0.5,full,3748,-0.0064,0.1187,0.005,0.008,-0.2681,0.464,45.67,0.0457,-0.02,0.0021
opt_lam=50_tcap=0.2,in_sample,1887,-0.0115,0.097,-0.071,-0.103,-0.199,0.456,27.94,0.0279,0.019,-0.0092
opt_lam=50_tcap=0.2,out_of_sample,1861,-0.027,0.1266,-0.154,-0.243,-0.321,0.404,25.0,0.025,-0.06,-0.0121
opt_lam=50_tcap=0.2,full,3748,-0.0192,0.1127,-0.117,-0.178,-0.321,0.43,26.48,0.0265,-0.031,-0.0103
opt_is_best,full @ 0 bps,3748,0.0973,0.1272,0.793,1.331,-0.2028,0.642,65.9,0.0,-0.008,0.101
opt_is_best,full @ 5 bps,3748,0.0618,0.1271,0.534,0.884,-0.2326,0.547,65.9,0.0329,-0.008,0.0682
opt_is_best,full @ 10 bps,3748,0.0274,0.1271,0.275,0.449,-0.2613,0.486,65.9,0.0659,-0.009,0.0353
opt_is_best,full @ 25 bps,3748,-0.0694,0.1276,-0.501,-0.783,-0.6774,0.335,65.9,0.1647,-0.011,-0.0634
