year,n_days,oos_sharpe,oos_cum_return,surviving_signals,is_sharpe_momentum,is_sharpe_reversal,is_sharpe_ts_momentum,is_sharpe_carry,is_sharpe_cot,is_sharpe_inventory,walkforward_overall_sharpe,walkforward_ci_low,walkforward_ci_high,walkforward_p_value_neg,walkforward_significant
2015,252,0.276,0.0329,momentum+carry+cot,0.266,-0.88,-0.894,1.459,0.098,-0.135,0.091,-0.492,0.578,0.4222,False
2016,252,1.082,0.1214,momentum+carry+cot,0.07,-0.811,-1.498,1.525,0.396,-0.081,0.091,-0.492,0.578,0.4222,False
2017,251,-0.248,-0.0329,carry+cot,-0.38,-0.868,-1.282,1.231,0.647,-0.219,0.091,-0.492,0.578,0.4222,False
2018,251,0.507,0.0408,carry+cot,-0.28,-0.975,-1.22,1.281,0.681,-0.607,0.091,-0.492,0.578,0.4222,False
2019,252,-0.088,-0.0114,carry+cot,-0.429,-1.073,-0.963,1.277,0.703,-0.597,0.091,-0.492,0.578,0.4222,False
2020,253,0.149,-0.0008,carry+cot,-0.574,-0.943,-1.12,1.2,0.679,-0.627,0.091,-0.492,0.578,0.4222,False
2021,252,-0.703,-0.0519,carry+cot,-0.395,-1.085,-0.884,1.022,0.705,-0.832,0.091,-0.492,0.578,0.4222,False
2022,251,1.041,0.127,carry+cot,-0.415,-0.946,-0.79,1.082,0.642,-0.84,0.091,-0.492,0.578,0.4222,False
2023,251,-0.263,-0.0302,carry+cot,-0.331,-0.957,-0.82,1.232,0.588,-0.777,0.091,-0.492,0.578,0.4222,False
2024,252,-1.222,-0.0815,carry+cot,-0.447,-0.894,-0.807,1.258,0.551,-0.752,0.091,-0.492,0.578,0.4222,False
2025,252,-1.749,-0.1529,carry+cot,-0.409,-0.823,-0.787,1.352,0.573,-0.745,0.091,-0.492,0.578,0.4222,False
2026,98,1.541,0.1136,carry+cot,-0.248,-0.777,-0.695,1.363,0.421,-0.705,0.091,-0.492,0.578,0.4222,False
