signal,horizon,mean_ic,ic_std,ic_ir,t_stat_overlap_adj,pct_days_positive,n_days,n_eff
carry,1,0.0059,0.366,0.016,0.98,0.497,3732,3732
carry,5,0.008,0.3672,0.0219,0.597,0.498,3728,745
carry,21,-0.0124,0.3612,-0.0344,-0.457,0.481,3712,176
carry,63,-0.0081,0.357,-0.0227,-0.174,0.483,3670,58
cot,1,0.0095,0.3278,0.029,1.772,0.515,3742,3742
cot,5,0.0124,0.3299,0.0375,1.027,0.517,3738,747
cot,21,0.0349,0.3244,0.1076,1.433,0.532,3722,177
cot,63,0.0422,0.3395,0.1244,0.951,0.555,3680,58
inventory,1,-0.0082,0.6325,-0.0129,-0.79,0.492,3732,3732
inventory,5,-0.0079,0.634,-0.0124,-0.339,0.498,3728,745
inventory,21,-0.0134,0.6226,-0.0215,-0.286,0.494,3712,176
inventory,63,-0.0123,0.5866,-0.0209,-0.159,0.496,3670,58
ts_momentum,1,-0.0028,0.4006,-0.0069,-0.422,0.497,3738,3738
ts_momentum,5,-0.0246,0.3967,-0.062,-1.694,0.476,3734,746
ts_momentum,21,-0.0645,0.3936,-0.1639,-2.181,0.431,3718,177
ts_momentum,63,-0.0854,0.4142,-0.2063,-1.576,0.43,3676,58
momentum,1,0.009,0.4064,0.0222,1.355,0.513,3738,3738
momentum,5,-0.0003,0.4128,-0.0007,-0.018,0.501,3734,746
momentum,21,-0.0177,0.4101,-0.0432,-0.575,0.486,3718,177
momentum,63,-0.0133,0.4507,-0.0295,-0.226,0.481,3676,58
reversal,1,-0.0074,0.3899,-0.0191,-1.165,0.492,3738,3738
reversal,5,0.0066,0.3889,0.017,0.464,0.511,3734,746
reversal,21,0.0192,0.3879,0.0496,0.659,0.526,3718,177
reversal,63,0.0354,0.3941,0.0898,0.686,0.532,3676,58
